record_id,content
1,lapp è meravigliosa vogliamo di nov per nov tent lofferta del 099 pure 3 article con 3 di discount
2,im pretty new user app live tried buying thing however recently purchased item either didst work wrong description even one purchase purchased first transaction didst go purchased sent duplicate receiving item company would not take back hundred dollar hour hour time trying get confirm return stay away
3,tried order several item took forever user unfriendly app ever used tried pay whatever reason would n't take card tried use another card completely erased order tried contact ali virtually impossible immediately uninstalled app
4,company responds quickly
5,take week order even get shipped done see good reason waiting long
6,deleted app many scam dodgy item steal app bit muddled compared main website 2026 let try see thing improved
7,no issue site delivery product described good information package
8,one worst delivery apps ever seen life done working number contact customer service period 3weeks since placed order yet still nothing guy please not order nothing people take money everything complete scam head
9,exceptional app
10,never loaded app got hacked
11,buyer beware bought lego style brick building kit son time purchase finally started working quality poor even adult assistance toy would fall apart slightest movement even trying add next piece model aliexpress seller mi ya toyneither take responsibility make goodwill refund credit moral story check purchase quality quickly receive
12,favourite shopping app
13,negative expectation app please done download one told free return available done take return send damaged piece
14,problem return item not return back not buy something expensive piece advice money fly any
15,package direct come live bean scared what 30 damage what call aliexpress find self warning done buy thing get scared not get package read bean delivered wast money
16,pretty good app much faster compared website however besides yield many annoying irrelevant notification charged bank card twice today order without arranging shipping section order silently ignored money charged
17,item cost pakistan 10 tax 15 joke item affordable first glance checkout pay least 90 150 item actual value not even funny want like back early 2025 ordered many thing fix shipping im ordering item chinese seller pay 050 upon receiving parcel door aliexpress become big joke maybe use yunexpress
18,excellent
19,watch builder site
20,like app live couple day better survey
21,scam vendor
22,ordering nigeria know one way trip item damaged wont able return live lost serious money almost 100k one seller sent ambled display doe n't work platform doe n't realistic return logistics nigeria like temp take risk go ahead
23,yes pay
24,loved started flag cancel order no one would anything fix ridiculous system lost business really enjoying buying figure seller made ton purchase one night try pay pay pal kept kicking im like whatever used card flagged order asked appeal send id cc information bank statement took forever proceeded 2 time
